,Date,Time,Transaction,Item,Weekday
73,10/30/2016,11:25:45,34,Muffin,Sunday
74,10/30/2016,11:27:34,35,Muffin,Sunday
75,10/30/2016,11:27:34,35,Scandinavian,Sunday
76,10/30/2016,11:33:08,36,Tea,Sunday
77,10/30/2016,11:33:08,36,Bread,Sunday
78,10/30/2016,11:37:10,37,Coffee,Sunday
79,10/30/2016,11:37:10,37,Bread,Sunday
81,10/30/2016,11:42:40,38,Bread,Sunday
82,10/30/2016,11:42:40,38,Tea,Sunday
83,10/30/2016,11:44:31,39,Scandinavian,Sunday
84,10/30/2016,11:55:51,40,Juice,Sunday
86,10/30/2016,11:55:51,40,Tartine,Sunday
87,10/30/2016,11:55:51,40,Coffee,Sunday
88,10/30/2016,11:55:51,40,Muffin,Sunday
89,10/30/2016,11:57:06,41,Scandinavian,Sunday
90,10/30/2016,11:57:45,42,Bread,Sunday
91,10/30/2016,11:57:45,42,Tea,Sunday
92,10/30/2016,12:00:22,43,Scandinavian,Sunday
93,10/30/2016,12:00:22,43,Fudge,Sunday
94,10/30/2016,12:05:47,44,Coffee,Sunday
95,10/30/2016,12:05:47,44,Medialuna,Sunday
96,10/30/2016,12:08:36,45,Coffee,Sunday
97,10/30/2016,12:08:36,45,Hot chocolate,Sunday
98,10/30/2016,12:08:36,45,Medialuna,Sunday
99,10/30/2016,12:09:04,46,Coffee,Sunday
100,10/30/2016,12:15:29,47,Ella's Kitchen Pouches,Sunday
101,10/30/2016,12:15:29,47,Juice,Sunday
102,10/30/2016,12:15:29,47,Bread,Sunday
103,10/30/2016,12:15:29,47,Muffin,Sunday
104,10/30/2016,12:15:29,47,Jam,Sunday
105,10/30/2016,12:17:02,48,Coffee,Sunday
106,10/30/2016,12:23:01,49,Coffee,Sunday
107,10/30/2016,12:23:01,49,Coffee,Sunday
108,10/30/2016,12:23:01,49,Medialuna,Sunday
109,10/30/2016,12:25:11,50,Bread,Sunday
110,10/30/2016,12:25:11,50,Victorian Sponge,Sunday
111,10/30/2016,12:26:58,51,Bread,Sunday
112,10/30/2016,12:28:07,52,Scandinavian,Sunday
113,10/30/2016,12:33:08,54,Bread,Sunday
114,10/30/2016,12:38:06,55,Frittata,Sunday
115,10/30/2016,12:38:06,55,Coffee,Sunday
116,10/30/2016,12:38:06,55,Tea,Sunday
117,10/30/2016,12:38:06,55,Hearty & Seasonal,Sunday
118,10/30/2016,12:39:27,56,Coffee,Sunday
119,10/30/2016,12:39:27,56,Frittata,Sunday
120,10/30/2016,12:45:48,57,Scandinavian,Sunday
121,10/30/2016,12:59:29,58,Victorian Sponge,Sunday
122,10/30/2016,12:59:29,58,Hot chocolate,Sunday
123,10/30/2016,12:59:29,58,Tea,Sunday
124,10/30/2016,12:59:29,58,Soup,Sunday
125,10/30/2016,13:02:04,59,Tea,Sunday
127,10/30/2016,13:14:04,60,Cookies,Sunday
128,10/30/2016,13:14:04,60,Coffee,Sunday
129,10/30/2016,13:14:04,60,Juice,Sunday
130,10/30/2016,13:14:04,60,Coffee,Sunday
131,10/30/2016,13:15:38,61,Coffee,Sunday
132,10/30/2016,13:24:00,62,Pick and Mix Bowls,Sunday
133,10/30/2016,13:24:00,62,Hearty & Seasonal,Sunday
134,10/30/2016,13:24:00,62,Hearty & Seasonal,Sunday
135,10/30/2016,13:24:00,62,Coffee,Sunday
136,10/30/2016,13:24:00,62,Smoothies,Sunday
137,10/30/2016,13:24:00,62,Coffee,Sunday
138,10/30/2016,13:33:12,63,Coffee,Sunday
139,10/30/2016,13:34:07,64,Cake,Sunday
141,10/30/2016,13:37:25,65,Tartine,Sunday
142,10/30/2016,13:37:25,65,Mighty Protein,Sunday
143,10/30/2016,13:37:25,65,Tea,Sunday
144,10/30/2016,13:37:25,65,Coffee,Sunday
145,10/30/2016,13:40:20,66,Hearty & Seasonal,Sunday
146,10/30/2016,13:40:20,66,Frittata,Sunday
147,10/30/2016,13:40:20,66,Mineral water,Sunday
148,10/30/2016,13:46:48,67,Hearty & Seasonal,Sunday
150,10/30/2016,13:46:48,67,Mineral water,Sunday
151,10/30/2016,13:46:48,67,Muffin,Sunday
152,10/30/2016,13:49:36,68,Frittata,Sunday
153,10/30/2016,13:49:36,68,Coffee,Sunday
154,10/30/2016,13:49:36,68,Tea,Sunday
155,10/30/2016,13:49:36,68,Scandinavian,Sunday
156,10/30/2016,13:49:36,68,Chicken sand,Sunday
157,10/30/2016,13:51:49,69,Bread,Sunday
158,10/30/2016,13:51:49,69,Tea,Sunday
159,10/30/2016,13:51:49,69,Victorian Sponge,Sunday
160,10/30/2016,13:54:42,70,Fudge,Sunday
161,10/30/2016,13:56:08,71,Muffin,Sunday
162,10/30/2016,14:21:38,72,Coffee,Sunday
163,10/30/2016,14:21:38,72,Bread,Sunday
164,10/30/2016,14:22:39,73,Bread,Sunday
165,10/30/2016,14:24:03,74,Coffee,Sunday
166,10/30/2016,14:24:03,74,Bread,Sunday
168,10/30/2016,14:32:26,75,Jam,Sunday
169,10/30/2016,14:32:26,75,Frittata,Sunday
170,10/30/2016,14:32:49,76,Coffee,Sunday
171,10/30/2016,14:35:36,77,Scandinavian,Sunday
172,10/30/2016,14:42:29,78,Fudge,Sunday
173,10/30/2016,14:45:44,79,Fudge,Sunday
174,10/30/2016,14:45:44,79,Tea,Sunday
175,10/30/2016,14:45:44,79,Coffee,Sunday
176,10/30/2016,14:45:44,79,Muffin,Sunday
177,10/30/2016,14:48:40,80,Frittata,Sunday
178,10/30/2016,14:48:40,80,Bread,Sunday
179,10/30/2016,14:48:40,80,Coffee,Sunday
180,10/31/2016,8:28:31,81,Coffee,Monday
181,10/31/2016,8:28:31,81,Cake,Monday
182,10/31/2016,8:47:05,82,Tartine,Monday
184,10/31/2016,8:47:05,82,Bread,Monday
185,10/31/2016,8:57:47,83,Coffee,Monday
186,10/31/2016,8:57:47,83,Bread,Monday
187,10/31/2016,9:04:06,84,Bread,Monday
188,10/31/2016,9:10:09,85,Coffee,Monday
189,10/31/2016,9:10:09,85,Coffee,Monday
190,10/31/2016,9:10:09,85,Pastry,Monday
191,10/31/2016,9:10:09,85,Medialuna,Monday
192,10/31/2016,9:11:08,86,Juice,Monday
193,10/31/2016,9:12:56,87,Bread,Monday
194,10/31/2016,9:16:01,88,Coffee,Monday
195,10/31/2016,9:16:01,88,Coffee,Monday
196,10/31/2016,9:16:01,88,Jam,Monday
197,10/31/2016,9:19:41,89,Bread,Monday
198,10/31/2016,9:20:12,90,Bread,Monday
199,10/31/2016,9:20:12,90,Coffee,Monday
200,10/31/2016,9:22:48,91,Tea,Monday
202,10/31/2016,9:27:11,92,Coffee,Monday
203,10/31/2016,9:29:23,93,Bread,Monday
204,10/31/2016,9:29:23,93,Coke,Monday
205,10/31/2016,9:39:09,94,Coffee,Monday
206,10/31/2016,9:39:09,94,Coffee,Monday
207,10/31/2016,9:43:37,95,Tea,Monday
208,10/31/2016,9:43:37,95,Pastry,Monday
209,10/31/2016,9:43:37,95,Farm House,Monday
210,10/31/2016,9:46:48,96,Pastry,Monday
211,10/31/2016,9:46:48,96,Pastry,Monday
212,10/31/2016,9:46:48,96,Coffee,Monday
213,10/31/2016,9:46:48,96,Juice,Monday
214,10/31/2016,9:51:11,97,Coffee,Monday
215,10/31/2016,9:51:11,97,Pastry,Monday
216,10/31/2016,9:51:11,97,Juice,Monday
217,10/31/2016,9:52:22,98,Farm House,Monday
218,10/31/2016,9:56:37,99,Pastry,Monday
219,10/31/2016,9:56:37,99,Pastry,Monday
220,10/31/2016,9:56:37,99,Coffee,Monday
221,10/31/2016,9:56:37,99,Bread,Monday
222,10/31/2016,9:58:06,100,Bread,Monday
223,10/31/2016,10:04:02,101,Coffee,Monday
224,10/31/2016,10:04:02,101,Pastry,Monday
225,10/31/2016,10:04:44,102,Farm House,Monday
227,10/31/2016,10:07:40,103,Bread,Monday
228,10/31/2016,10:12:48,104,Coffee,Monday
229,10/31/2016,10:12:48,104,Coffee,Monday
230,10/31/2016,10:12:48,104,Medialuna,Monday
231,10/31/2016,10:12:48,104,Muffin,Monday
232,10/31/2016,10:12:48,104,Coffee,Monday
233,10/31/2016,10:21:29,105,Coffee,Monday
234,10/31/2016,10:21:29,105,Tea,Monday
236,10/31/2016,10:21:29,105,Cake,Monday
237,10/31/2016,10:24:21,106,Coffee,Monday
238,10/31/2016,10:24:21,106,Coffee,Monday
239,10/31/2016,10:24:21,106,Pastry,Monday
240,10/31/2016,10:24:21,106,Pastry,Monday
241,10/31/2016,10:27:30,107,Coffee,Monday
242,10/31/2016,10:27:30,107,Tea,Monday
243,10/31/2016,10:31:05,108,Farm House,Monday
244,10/31/2016,10:31:05,108,Muffin,Monday
245,10/31/2016,10:35:23,109,Bread,Monday
246,10/31/2016,10:35:23,109,Muffin,Monday
247,10/31/2016,10:35:23,109,Pastry,Monday
248,10/31/2016,10:36:37,110,Pastry,Monday
249,10/31/2016,10:38:09,111,Coffee,Monday
250,10/31/2016,10:59:17,112,Coffee,Monday
251,10/31/2016,11:02:37,113,Coffee,Monday
252,10/31/2016,11:02:37,113,Cake,Monday
253,10/31/2016,11:05:45,114,Farm House,Monday
254,10/31/2016,11:08:53,115,Bread,Monday
255,10/31/2016,11:11:01,116,Coffee,Monday
256,10/31/2016,11:13:08,117,Cookies,Monday
257,10/31/2016,11:13:08,117,Cake,Monday
258,10/31/2016,11:13:08,117,Coffee,Monday
259,10/31/2016,11:13:08,117,My-5 Fruit Shoot,Monday
260,10/31/2016,11:18:29,118,Cookies,Monday
261,10/31/2016,11:18:29,118,Cookies,Monday
262,10/31/2016,11:18:29,118,Tea,Monday
263,10/31/2016,11:18:29,118,Pastry,Monday
264,10/31/2016,11:25:56,119,Coffee,Monday
265,10/31/2016,11:25:56,119,Coffee,Monday
266,10/31/2016,11:25:56,119,Muffin,Monday
267,10/31/2016,11:29:01,120,Farm House,Monday
268,10/31/2016,11:30:59,121,Coffee,Monday
269,10/31/2016,11:30:59,121,Bread,Monday
270,10/31/2016,11:37:30,122,Cookies,Monday
271,10/31/2016,11:42:05,123,Jam,Monday
273,10/31/2016,11:42:05,123,Coffee,Monday
274,10/31/2016,11:42:05,123,Coffee,Monday
275,10/31/2016,11:42:05,123,Juice,Monday
276,10/31/2016,11:43:10,124,Coffee,Monday
277,10/31/2016,11:43:10,124,Soup,Monday
278,10/31/2016,11:47:18,125,Tea,Monday
279,10/31/2016,11:52:43,126,Coffee,Monday
280,10/31/2016,11:52:43,126,Jam,Monday
281,10/31/2016,11:53:11,127,Farm House,Monday
283,10/31/2016,11:55:00,128,Tartine,Monday
284,10/31/2016,11:55:00,128,Coffee,Monday
285,10/31/2016,11:55:00,128,Tea,Monday
286,10/31/2016,11:59:23,129,Coffee,Monday
287,10/31/2016,11:59:23,129,Coffee,Monday
288,10/31/2016,11:59:23,129,Cake,Monday
289,10/31/2016,12:03:12,130,Coffee,Monday
290,10/31/2016,12:03:12,130,Coffee,Monday
291,10/31/2016,12:03:12,130,Muffin,Monday
292,10/31/2016,12:08:28,131,Bread,Monday
293,10/31/2016,12:08:28,131,Coffee,Monday
294,10/31/2016,12:14:20,132,Tea,Monday
295,10/31/2016,12:14:20,132,Juice,Monday
296,10/31/2016,12:14:20,132,Pick and Mix Bowls,Monday
297,10/31/2016,12:14:20,132,Cookies,Monday
298,10/31/2016,12:16:32,133,Hearty & Seasonal,Monday
299,10/31/2016,12:16:32,133,Soup,Monday
300,10/31/2016,12:19:37,134,Hearty & Seasonal,Monday
301,10/31/2016,12:19:37,134,Tea,Monday
302,10/31/2016,12:19:37,134,Farm House,Monday
303,10/31/2016,12:20:21,135,Bread,Monday
304,10/31/2016,12:27:41,136,Tea,Monday
305,10/31/2016,12:27:41,136,Soup,Monday
306,10/31/2016,12:37:07,137,Farm House,Monday
307,10/31/2016,12:43:35,138,Soup,Monday
308,10/31/2016,12:43:35,138,Hearty & Seasonal,Monday
309,10/31/2016,12:43:35,138,Coffee,Monday
310,10/31/2016,12:50:57,139,Bread,Monday
311,10/31/2016,12:50:57,139,Muffin,Monday
312,10/31/2016,12:50:57,139,Hearty & Seasonal,Monday
313,10/31/2016,12:53:33,140,Coffee,Monday
314,10/31/2016,12:53:33,140,Coffee,Monday
315,10/31/2016,12:53:33,140,Cookies,Monday
316,10/31/2016,12:54:28,141,Bread,Monday
317,10/31/2016,12:56:47,142,Tea,Monday
318,10/31/2016,12:56:47,142,Muffin,Monday
319,10/31/2016,12:59:08,143,Tea,Monday
320,10/31/2016,13:02:11,144,Soup,Monday
321,10/31/2016,13:02:11,144,Hearty & Seasonal,Monday
322,10/31/2016,13:05:49,145,Coffee,Monday
323,10/31/2016,13:05:49,145,Tea,Monday
324,10/31/2016,13:05:49,145,Focaccia,Monday
325,10/31/2016,13:08:30,146,Sandwich,Monday
326,10/31/2016,13:09:31,147,Tartine,Monday
327,10/31/2016,13:09:31,147,Coffee,Monday
328,10/31/2016,13:21:17,148,Fudge,Monday
329,10/31/2016,13:21:17,148,Coffee,Monday
330,10/31/2016,13:21:17,148,Coffee,Monday
331,10/31/2016,13:26:03,149,Coffee,Monday
332,10/31/2016,13:31:33,150,Bread,Monday
333,10/31/2016,13:50:17,151,Coke,Monday
334,10/31/2016,13:50:17,151,Soup,Monday
335,10/31/2016,13:51:18,152,Muffin,Monday
336,10/31/2016,13:55:22,153,Tea,Monday
337,10/31/2016,13:55:22,153,Coffee,Monday
338,10/31/2016,13:55:22,153,Cookies,Monday
339,10/31/2016,13:55:22,153,Muffin,Monday
340,10/31/2016,14:00:21,154,Mighty Protein,Monday
341,10/31/2016,14:00:21,154,Hearty & Seasonal,Monday
342,10/31/2016,14:00:21,154,Coffee,Monday
343,10/31/2016,14:00:21,154,Coke,Monday
344,10/31/2016,14:01:30,155,Tea,Monday
345,10/31/2016,14:01:30,155,Muffin,Monday
346,10/31/2016,14:01:30,155,Sandwich,Monday
347,10/31/2016,14:04:16,156,Coffee,Monday
348,10/31/2016,14:04:16,156,Muffin,Monday
349,10/31/2016,14:05:07,157,Coffee,Monday
350,10/31/2016,14:05:07,157,Bread,Monday
351,10/31/2016,14:20:29,158,Coffee,Monday
352,10/31/2016,14:20:29,158,Muffin,Monday
353,10/31/2016,14:22:31,159,Bread,Monday
354,10/31/2016,14:22:31,159,Hot chocolate,Monday
355,10/31/2016,14:22:31,159,Cookies,Monday
356,10/31/2016,14:35:27,160,Mineral water,Monday
357,10/31/2016,14:35:27,160,Muffin,Monday
358,10/31/2016,14:42:34,161,Tea,Monday
359,10/31/2016,14:44:48,162,Muffin,Monday
360,10/31/2016,14:47:16,163,Coffee,Monday
361,10/31/2016,14:47:16,163,Juice,Monday
362,10/31/2016,14:47:36,164,Coffee,Monday
363,10/31/2016,14:47:36,164,Muffin,Monday
364,10/31/2016,14:48:49,165,Tea,Monday
365,10/31/2016,14:49:28,166,Coffee,Monday
366,10/31/2016,14:49:28,166,Muffin,Monday
367,10/31/2016,14:50:42,167,Sandwich,Monday
368,10/31/2016,14:50:42,167,Hearty & Seasonal,Monday
369,10/31/2016,14:50:42,167,Bread,Monday
370,10/31/2016,14:50:42,167,Mineral water,Monday
371,10/31/2016,14:56:25,168,Tea,Monday
372,10/31/2016,14:56:25,168,Coffee,Monday
373,10/31/2016,15:05:17,169,Mineral water,Monday
374,10/31/2016,15:16:49,170,Coffee,Monday
375,10/31/2016,15:20:16,171,Soup,Monday
376,10/31/2016,15:20:16,171,Tea,Monday
377,10/31/2016,17:06:47,172,Bread,Monday
378,10/31/2016,17:06:47,172,Coffee,Monday
379,10/31/2016,17:08:09,173,Bread,Monday
380,10/31/2016,17:08:09,173,Muffin,Monday
381,10/31/2016,17:40:21,174,Coffee,Monday
382,10/31/2016,17:49:42,175,Bread,Monday
383,10/31/2016,18:22:24,176,Cookies,Monday
384,10/31/2016,18:22:24,176,Coffee,Monday
385,11/1/2016,7:51:20,178,Coffee,Tuesday
386,11/1/2016,7:51:20,178,Pastry,Tuesday
387,11/1/2016,8:20:50,179,Coffee,Tuesday
388,11/1/2016,8:20:50,179,Pastry,Tuesday
389,11/1/2016,8:22:28,180,Jam,Tuesday
390,11/1/2016,8:22:28,180,Tea,Tuesday
391,11/1/2016,8:45:20,181,Tea,Tuesday
392,11/1/2016,8:45:20,181,Tea,Tuesday
393,11/1/2016,9:07:47,182,Pastry,Tuesday
394,11/1/2016,9:07:47,182,Pastry,Tuesday
395,11/1/2016,9:07:47,182,Ella's Kitchen Pouches,Tuesday
396,11/1/2016,9:09:26,183,Pastry,Tuesday
397,11/1/2016,9:26:03,184,Farm House,Tuesday
399,11/1/2016,9:26:03,184,Tea,Tuesday
400,11/1/2016,9:29:25,185,Tea,Tuesday
401,11/1/2016,9:29:25,185,Victorian Sponge,Tuesday
402,11/1/2016,9:43:13,186,Tea,Tuesday
403,11/1/2016,9:43:13,186,Pastry,Tuesday
404,11/1/2016,10:02:27,187,Bread,Tuesday
405,11/1/2016,10:04:05,188,Coffee,Tuesday
406,11/1/2016,10:29:02,189,Bread,Tuesday
407,11/1/2016,10:29:02,189,Coffee,Tuesday
408,11/1/2016,10:34:53,190,Coffee,Tuesday
409,11/1/2016,10:34:53,190,Pastry,Tuesday
410,11/1/2016,10:34:53,190,Pastry,Tuesday
411,11/1/2016,10:50:50,191,Soup,Tuesday
412,11/1/2016,10:50:50,191,Tea,Tuesday
414,11/1/2016,10:56:08,192,Bread,Tuesday
415,11/1/2016,11:00:48,193,Coffee,Tuesday
416,11/1/2016,11:04:36,194,Bread,Tuesday
417,11/1/2016,11:04:36,194,Bread,Tuesday
418,11/1/2016,11:06:09,195,Bread,Tuesday
420,11/1/2016,11:06:09,195,Scandinavian,Tuesday
421,11/1/2016,11:08:18,196,Bread,Tuesday
422,11/1/2016,11:08:18,196,Cake,Tuesday
423,11/1/2016,11:08:18,196,Cookies,Tuesday
424,11/1/2016,11:10:11,197,Coffee,Tuesday
425,11/1/2016,11:10:11,197,Coffee,Tuesday
426,11/1/2016,11:10:11,197,Tea,Tuesday
427,11/1/2016,11:11:58,198,Coffee,Tuesday
428,11/1/2016,11:11:58,198,Cookies,Tuesday
429,11/1/2016,11:13:20,199,Coffee,Tuesday
430,11/1/2016,11:16:30,200,Bread,Tuesday
432,11/1/2016,11:22:36,201,Coffee,Tuesday
433,11/1/2016,11:22:36,201,Pastry,Tuesday
434,11/1/2016,11:23:19,202,Coffee,Tuesday
435,11/1/2016,11:23:19,202,Coffee,Tuesday
436,11/1/2016,11:25:53,203,Coffee,Tuesday
437,11/1/2016,11:30:00,204,Scandinavian,Tuesday
438,11/1/2016,11:30:00,204,Bread,Tuesday
439,11/1/2016,11:49:31,205,Coffee,Tuesday
440,11/1/2016,11:49:31,205,Coffee,Tuesday
441,11/1/2016,11:49:31,205,Pastry,Tuesday
442,11/1/2016,11:54:17,206,Scandinavian,Tuesday
443,11/1/2016,11:54:17,206,Coffee,Tuesday
444,11/1/2016,11:54:17,206,Pastry,Tuesday
445,11/1/2016,12:03:37,207,Hearty & Seasonal,Tuesday
446,11/1/2016,12:03:37,207,Coffee,Tuesday
447,11/1/2016,12:03:37,207,Muffin,Tuesday
448,11/1/2016,12:10:09,208,Bread,Tuesday
449,11/1/2016,12:10:38,209,Coffee,Tuesday
450,11/1/2016,12:12:26,210,Scandinavian,Tuesday
451,11/1/2016,12:15:36,211,Soup,Tuesday
452,11/1/2016,12:15:36,211,Coffee,Tuesday
453,11/1/2016,12:20:30,212,Coffee,Tuesday
454,11/1/2016,12:20:30,212,Cookies,Tuesday
455,11/1/2016,12:20:30,212,Tartine,Tuesday
456,11/1/2016,12:22:04,213,Bread,Tuesday
457,11/1/2016,12:26:43,214,Bread,Tuesday
458,11/1/2016,12:26:43,214,Tea,Tuesday
459,11/1/2016,12:26:43,214,Tea,Tuesday
460,11/1/2016,12:30:30,215,Pastry,Tuesday
461,11/1/2016,12:30:30,215,Coffee,Tuesday
462,11/1/2016,12:31:30,216,Tartine,Tuesday
463,11/1/2016,12:31:30,216,Coffee,Tuesday
464,11/1/2016,12:33:31,217,Bread,Tuesday
465,11/1/2016,12:33:31,217,Cookies,Tuesday
466,11/1/2016,12:37:29,218,Sandwich,Tuesday
467,11/1/2016,12:41:16,219,Tartine,Tuesday
468,11/1/2016,12:49:16,220,Bread,Tuesday
469,11/1/2016,12:49:16,220,Pastry,Tuesday
470,11/1/2016,12:53:18,221,Bread,Tuesday
471,11/1/2016,12:53:18,221,Scandinavian,Tuesday
472,11/1/2016,13:08:46,222,Scandinavian,Tuesday
473,11/1/2016,13:11:34,223,Alfajores,Tuesday
474,11/1/2016,13:11:34,223,Coffee,Tuesday
475,11/1/2016,13:15:08,224,Coffee,Tuesday
476,11/1/2016,13:19:00,225,Coffee,Tuesday
477,11/1/2016,13:19:00,225,Coke,Tuesday
478,11/1/2016,13:19:00,225,Soup,Tuesday
479,11/1/2016,13:21:52,226,Cake,Tuesday
480,11/1/2016,13:31:35,227,Tea,Tuesday
481,11/1/2016,13:31:35,227,Sandwich,Tuesday
482,11/1/2016,13:31:35,227,Soup,Tuesday
483,11/1/2016,13:33:54,228,Coffee,Tuesday
484,11/1/2016,13:37:48,229,Hearty & Seasonal,Tuesday
485,11/1/2016,13:37:48,229,Bread,Tuesday
486,11/1/2016,13:41:53,230,Alfajores,Tuesday
487,11/1/2016,13:45:21,231,Cake,Tuesday
488,11/1/2016,14:10:03,232,Tea,Tuesday
489,11/1/2016,14:10:03,232,Tea,Tuesday
490,11/1/2016,14:10:03,232,Bread,Tuesday
491,11/1/2016,14:13:26,233,Coffee,Tuesday
492,11/1/2016,14:13:26,233,Tea,Tuesday
493,11/1/2016,14:13:26,233,Bread,Tuesday
494,11/1/2016,14:13:26,233,Soup,Tuesday
495,11/1/2016,14:14:01,234,Coffee,Tuesday
496,11/1/2016,14:14:01,234,Coffee,Tuesday
497,11/1/2016,14:18:52,235,Scandinavian,Tuesday
498,11/1/2016,14:22:07,236,Fudge,Tuesday
499,11/1/2016,14:25:14,237,Coffee,Tuesday
500,11/1/2016,14:25:14,237,Sandwich,Tuesday
501,11/1/2016,14:37:16,238,Tea,Tuesday
502,11/1/2016,14:37:16,238,Bread,Tuesday
503,11/1/2016,14:37:16,238,Cookies,Tuesday
504,11/1/2016,14:37:16,238,Pastry,Tuesday
505,11/1/2016,14:37:26,239,Muffin,Tuesday
506,11/1/2016,14:42:31,240,Scandinavian,Tuesday
507,11/1/2016,14:54:33,241,Jam,Tuesday
508,11/1/2016,14:54:33,241,Tea,Tuesday
509,11/1/2016,15:02:23,242,Juice,Tuesday
510,11/1/2016,15:02:23,242,Tea,Tuesday
511,11/1/2016,15:02:23,242,Alfajores,Tuesday
512,11/1/2016,15:18:43,243,Cake,Tuesday
513,11/1/2016,15:18:43,243,Muffin,Tuesday
514,11/1/2016,15:18:43,243,Coffee,Tuesday
515,11/1/2016,15:18:43,243,Soup,Tuesday
516,11/1/2016,15:33:18,244,Hot chocolate,Tuesday
517,11/1/2016,15:33:18,244,Cake,Tuesday
518,11/1/2016,15:33:18,244,Coffee,Tuesday
519,11/1/2016,15:37:30,245,Cake,Tuesday
520,11/1/2016,15:37:30,245,Cookies,Tuesday
521,11/1/2016,15:48:44,246,Tea,Tuesday
522,11/1/2016,15:48:44,246,Bread,Tuesday
523,11/1/2016,16:07:11,247,Alfajores,Tuesday
524,11/1/2016,16:07:11,247,Coffee,Tuesday
525,11/1/2016,16:07:11,247,Coffee,Tuesday
526,11/1/2016,16:07:11,247,Coffee,Tuesday
527,11/1/2016,16:07:11,247,Juice,Tuesday
528,11/1/2016,16:08:22,248,Coffee,Tuesday
529,11/1/2016,16:08:22,248,Tea,Tuesday
530,11/1/2016,16:08:22,248,Soup,Tuesday
531,11/1/2016,16:10:03,249,Hot chocolate,Tuesday
532,11/1/2016,16:10:42,250,Cookies,Tuesday
533,11/1/2016,16:26:55,251,Coffee,Tuesday
534,11/1/2016,16:26:55,251,Medialuna,Tuesday
535,11/1/2016,16:28:57,252,Bread,Tuesday
